"","show_title","reviewer_name","review_date","rating","review_title","helpful_votes","review_text"
"12",NA,"genericimdbusername1111","Nov 25, 2024",5,"Fumbled the landing",NA,"I never played the game lots of people at my jobs are fan of it.But this series is amazing, anime, story everything i can't wait to see season 2 and where it goes."
"13",NA,"svederen","Nov 6, 2021",9,"Not just for fans of the video game",NA,"This review is for the first 3 Episodes which were released on Netflix on the 7th November.The story is set on the street of Zaun about Powder/Jinx & Vi who are criminals. The story is very interesting and the OST just amazing. The Animations is not your everyday CGI animation. Looks more hand drawn. After watching Episode 1 it keeps you wanting to watch more based on character development and story. It is a little bit predictable if you know the characters from the game and the lore behind them.If you are new to the League of Legends Universe, this show does help you understand each character what they are trying to achieve.I give this a 9 out of 10, not only because I'm a League of Legends fan but mainly based on Story, Characters & Music.Highly Recommended."
"14",NA,"arabnikita","Nov 26, 2021",10,"Impossible to stop",NA,"What I especially enjoyed was how expressive the characters are. Character development is impressive for every single major character. Many of the characters are morally grey in a realistic way. Most shows are lucky to get a few characters that go through good character development arcs- in Arcane we get to see all the main characters develop and it's never forced or unrealistic. Overall, Arcane is a masterclass in world-building and character writing. This puts most other television shows to shame in the intensity and detail of its story, and will be remembered as a staple in the development and adaptation of modern fantasy for years to come. I'm really looking forward to season 2."
"15",NA,"Movi3DO","Nov 20, 2021",9,"Time for LOLCU",NA,"Some ppl are going to prob go nuts, but please bear in mind I am strictly a console gamer.I have never even heard of this game before and after researching what the game is about, I will probably never play it... it's just not my kind of game.But with that being said... what a great show!Felt like Hugo mixed with Alita mixed with Elysium mixed with a hundred other movies out there but it was well done, entertaining, beautifully animated, and well casted.A definite watch for anyone that loves a more mature animated series. I hope they make another season."
"16",NA,"kaefab","Nov 18, 2021",9,"fantastic",NA,"Really great, stunning, amazing and beautiful tv show. Possibly the most unique show to come out in the last decade or so...ppl if you havent started watching this..plz do. This show has really amazing storytelling, the animation is simply superb, the action is always on high levels of adrenaline. I aint gonna lie..i dont watch much tv..but this show sitting at 9.4 was really something...lol had no choice but to give it a go. So thanks ppl of imdb."
"17",NA,"theukmoody","Nov 6, 2021",9,"One of the Best Animated Video Game Series out there.",NA,"So many positives i don't know where to start! This is unique, gripping probably won't happen again like this! Phenomenal. Art is an anomaly; i don't get how but i know it is reality."
"18",NA,"Master_Strange","Nov 22, 2021",10,"Animation and Visuals Are Beautiful, From the Cities to the Characters",NA,NA
"19",NA,"candicelee82","Nov 6, 2021",10,"Never knew this was a game :o",NA,NA
"20",NA,"smorgify","Nov 23, 2024",7,"Incredible potential, unfortunantely rushed",NA,NA
"21",NA,"jamesaedwards-22729","Feb 10, 2024",10,"Everyone needs to not take things so seriously",NA,"Rick and Morty is equally one of the most influential pieces of entertainment in the 2010's decade while also creating one of the most insufferable fan bases out of any media in that time, as well.The premise for the show is one of the most distilled versions of Postmodern ideology that you really can find - there's no real point to anything, objectivity goes right out the window, so might as well do whatever you want while you can.At its best, this show goes off the rails with (not so subtle) references to other pieces of culture that mixes a push to make fun of the very things that they're referencing. At its worst, it's patronizing and self-referential in a way that's been the catalyst to create some of the egotistical fanbases that it now has.However, for all that's been said about this show (the good and the bad), that's precisely what has driven its ethos for 7 seasons (and more) - ""we can make fun of whatever we want to and do whatever we want to because what you love doesn't actually matter. You and I are both going to die one day.""I love this show for many reasons. Top of the list being - what they make fun of, I also understand and love as well. From Ice T, to Birdperson, to the council of the Rick's, and the commercial for Two Brothers, this show has no problem letting its imagination drive the engine in fresh, new ways while being wholly unoriginal most of the time (and better for it)."
"22",NA,"tabraham44","Jan 21, 2014",10,"Easily the best show I've seen in a while",NA,"This show is honestly great. It is easily the best animation show I have seen in a while on any network. The second the show starts you can tell that the characters fit perfectly with each other, and involved with the craziness that happens in the universe with Rick and Morty, they are immediately hilarious and extremely creative at the same time. A couple episodes in and I could tell that this was a unique show, and that people need to be watching it because it has huge potential. And with Dan Harmon writing and directing at the helm of it all, the magic that this show brings is a rare gem in television that people need to watch.. So yeah I highly suggest this show to anyone who wants a true genuine laugh at least once a week."
"23",NA,"Supermanfan-13","Mar 11, 2024",8,"Glad I finally started watching this",NA,"This is an extremely solid show. It is *dark*, but there are certainly moments that approach the limits of any sort of television style format.The ending of ""Rick Potion #9"" is just amazing. Likewise, the end of ""M. Night Shaym Aliens"".The strength of the show is just how amoral Rick may be; but there is a strong attachment to the ""many universes"" hypothesis within the show. Philosophers have long debated the moral implications of ""many universes"" ( while realizing it's a bit sophomoric and nerdy ) ; ""Rick and Morty"" picks at this as its stock in trade. Morty is our avatar, and works in that capacity extremely well.The essential dyad at the center - the title characters - interact little with the more peripheral characters, who have mainly been used in B plots. This shifts of course, and with these sorts of shows they will always mix this for plot gain. There's a rich enough set of characters to provide ample space. The interaction between Rick and Morty hoists a bit from classic propaganda tropes without actually being propagandist; a heck of a trick. It must be hard to calibrate this.The entire show is just chock full of nuggets and neither preaches nor deigns to condescend to the audience. Pacing is always even and feels right. The writers know where to push and where not to.We will see how long this can be maintained. The writers show a gift for twisting & adding-to old plots into new shows. Hopefully that's a stable arrangement.As an ""agent of Chaos"", Rick should serve us for many years. There are actual ideas underneath all the humor, and here's to them. This might well be the best thing on television right now."
"24",NA,"lcargill99","Jan 31, 2014",10,"Very solidly constructed television.",NA,"I've heard nothing but great things about Rick and Morty but still put off watching it for so long, I finally started it and boy am I glad I finally did. It's hilarious and original! My favorite animated series are Family Guy, Archer, Bojack Horsemen, shows like that and this is right there with them. It's definitely weird but in a good way, a way that will keep you laughing at every episode. You really become invested in it's world and characters like it's a thrilling drama, not an adult animated comedy. Each episode is funny, smart and weird. It's exactly what a science fiction comedy should be. Don't be like me and keep putting off...watch it, it really is as good as everyone says it is!"
"25",NA,"Rob1331","Jan 17, 2023",8,"Pretty Funny!",NA,"Send help! I rewatched this 5 times already and it's still amazing, and I never rewatch anything."
"26",NA,"sophiamar","May 1, 2019",10,"WE NEED MORE EPISODES!!!",NA,"Rick and Morty is a hilarious new show by the genius behind Community seasons 1-3 and 5, Dan Harmon. The episodes so far have always seemed fresh and the writing is hilarious and creative. But then there's no surprise really since its co-creator created Community.The hilarious mixture of wittiness, slapstick and action all add to making this show one of the best cartoons I have ever seen.From what I've seen so far, the show easily parodies different movies and topics, also slyly sneaking in references (sometimes not slyly).The art also is simple, but very appealing. Because the show is animated, Dan Harmon, Justin Roiland and the writers have been able to break free from the chains of live action, making the show more out of this world.I highly recommend this show to anyone, especially fans of the Regular Show, Adventure Time and Community."
"27",NA,"theong32","Dec 23, 2013",10,"A genius mix of emotion, comedy and sci-fi!",NA,"There's not just one thing I love about this show, everything that goes into the show, how the creators treat their fans, to the characters created, to the writing, everything what makes this what it is I love."
"28",NA,"Clive_W","Jul 9, 2019",10,"Wubba Lubba Dub Dub!!!",NA,"10/10
Rick: Listen, Morty, I hate to break it to you, but what people call ""love"" is just a chemical reaction that compels animals to breed. It hits hard, Morty, then it slowly fades, leaving you stranded in a failing marriage. I did it. Your parents are gonna do it."
"29",NA,"wifebanger","May 30, 2019",10,"😍😍",NA,"Heads Up: This review is based on the first few episodes of Season 1 only. I was really looking forward to Rick and Morty based on the hilarious teaser and the fact that this is a hand drawn show like older, more classic cartoons. My concern was that it would end up with a weak, poorly written script. That is not the case whatsoever. This show is incredibly original with its writing, characters, style and imagination. Every episode AND joke is completely different from the last, which keeps this show fresh and exciting to watch. While I think Rick (the grandpa) is the funniest, No character is bad. Morty, his dog Snuffles, and even Morty's math teacher all pack in great jokes. The directing is great and the art style and the way it is drawn is really really good. The only problem I have with the show, is that I don't really think they know how to end each episode (so far at least). But, this is truly a breath of fresh air when it comes to comedy, and I think adultswim has a really good show on their hands... 9/10"
"30",NA,"realjakeobrien","Dec 10, 2013",9,"Original and Hand Drawn.",NA,"To me, Rick and Morty absolutely wasn't love at first sight. The concept instinctively didn't make sense to me, at first. A grandpa and his grandson. What I loved from the start was the adventurous alternate universes, and the potential in my imagination. This show could go anywhere. What really stuck was a couple of alternate universes that really touched my heart. I didn't expect that. And I would have settled for less. The jokes by themselves are hilarious, already. All main characters have proper personalities, unseen to date. The show didn't go for 'smooth.' Maybe, you have to go for something else to achieve 'smooth.' You can't aim for smooth, but that's the only thing, I can think of, that falls short of a 10. A ""Captain-America-smooth."" Maybe the last thing that's missing is a shield ? Naw. But all those adventures need to start standing for something. Even if Grandpa Rick is just chasing that kind of over-arching ... thing."
"31",NA,"makiefer-87128","Mar 6, 2024",9,"Love it",NA,"Sad to see such a great show die, but no king rules forever (my son). 4 bad episodes in a row now. They feel so unnatural, forced. It's like the writers changed completely, not the voice actor. If I didn't know Roiland was swapped for somebody else I woudn't have noticed by just voices alone. But voices aside, the writing is irredeemable. A show that had such great episodes in the earlier seasons that it had infinite rewatchability, has come to this.Other episodes of the season were bad as well, with varying degrees. But the last one (s07e04) had no funny moment. At all. Simply no witty dialogue. No cool story. Instead of absurd scenes, where the whole setting is funny to begin with, it's just shock value.In the earlier seasons it was maybe 1 (one) bad episode per season. Right now we are looking at 1 (one) GOOD episode per season, optimistically. It is well and truly over.Despite a few cringe episodes in the earlier seasons, that I wrote off as nonexistant in my headcanon , this was at one point my favourite TV show. Now turned mediocre. At this point I'd rather just watch Family Guy and South Park. Despite both shows being past their prime, at least there is some ""in your face"" humor to be found there. All that's left in Rick and Morty is a lame, unfunny regurgitation of the things we've seen or a subpar social commentary.""Morty, I discovered suicide. It's when you die by killing yourself, Morty. And we're gonna make it an episode. Season 9 more seasons of Rick and Morty for 97 more years""
10 for the first few season and 1 for the latest instalments, with average rounded down to 5 . Adios."
"32",NA,"matsuda-ets","Nov 7, 2023",5,"Goodnight sweet prince",NA,"Let me just say that I was very skeptical about this show. Judging from the sneak peaks and previews, I assumed this was going to be just another family guy/ Brikleberry lazily animated show with some cheap and low standards. Well gee wizz, I was very very wrong! Rick and Morty might seem like some stupid knock off of Back to the Future or some money laundering scheme as part of late night cable TV, but its not. Behind all the jokes, each episode surprisingly has a strong message and whether you can relate to it or not, you won't really feel like the end of each episode was a bummer.The weakest aspect is the animation. Its not pretty and seems out dated. Despite this, its hard to say that this pulls the show down. No, not even one bit. The absolutely clever writing and well designed character personalities are basically what this show floats upon. Unlike many other cartoons that have a sub plot in every episode, the ones in this show are actually relevant and memorable. They aren't just there as fillers and they are nearly as important as the main story. In fact, in most episodes its hard to tell which one is the sub plot and which one is the main plot.What I'm trying to say is that this show is near perfect. What are you still doing watching new Simpsons and Family guy, go watch this show if you haven't already. Its a great example of how TV hasn't turned to total crap."
"33",NA,"sweetcommando","Mar 25, 2014",8,"Just as TV started to go downhill...",NA,"I absolutely love this show... Reminds me of the chemistry of Doc and Marty Mcfly from the Back to the Future series with a rated R twist. Slowly but surely the are tweaking character development. Getting better every new episode!!! I like the way Rick is always drinking and burping and slurring his speech. This show is getting a lot of acclaim with so few episodes and it deserves every bit. Honestly this is the best cartoons aimed at young adults and teens that I've seen in a years. I always get excited when I see a new episode trailer!!! Can't wait to see what direction they take this to in the future. They have set it up for literally limitless possibilities."
"34",NA,"superthuginc","Mar 23, 2014",10,"This show is excellent",NA,"I just finished watching the first three episodes and feel instantly hooked. I have the same feeling I had when I watched Family Guy for the first time, in which I felt like every single character was interesting and was contributing for the series in their own ways. In this show, things that will make you laugh are dark and awkward at times which succeed every time. I haven't found a single bad moment so far in the first three episodes and can't wait to watch the whole thing The first episode was awesome and got me straight to the next. The dog world domination episode is going to be a classic, go watch it. People will remember that episode."
"35",NA,"fruhz","Dec 22, 2013",9,"The Best New Adult Animated Series Around",NA,"Rick and Morty is a very funny show. The humor is crazy and is hurled at the audience with breathless speed. Every joke doesn't hit, but there are so many of them that it hardly matters, and when they do hit, they hit hard.That makes it a good show, but what makes it a truly great series is the intelligence of the crazy sci-fi ideas that fuel the stories. Yes, a miniverse inside a miniverse inside a miniverse is ridiculous, but it's also wonderfully ingenious, especially as you see both the variety and consistency of these worlds. A being that insinuates itself into everyone's memories was beautifully done. An episode in which your mind can create your concept of your partner was smart from the beginning, but then kept expanding on the idea.Every idea is nonsensical, but every idea is ingenious and fully explored. This is not just good comedy, it's good sci-fi.I wish this show had lasted as long as the Simpsons (i.e. forever) but what there is is fantastic."
"36",NA,"cherold","Nov 8, 2016",9,"Funny and wonderfully ingenious",NA,"I find the Rick and Morty series are good to watch in the background, and jump in at any moment. Even though there is a story to follow in the lore throughout the episodes and seasons, it isn't 100% necessary to watch them in order and to know what is going on. This is because each of the episodes follow a short story/adventure that mainly follows Rick and Morty however sometimes there will be a combination of characters in the adventure.I enjoy thé creativity of the show, as the premise of the show follows Rick, a Scientific genius who developed portal travel and other interesting Si-Fi gadgets, and because of this, anything can happen and the stories can run wild. I have watched this a few times however I find that I always like the very different adventures from episode to episode.One thing that is seen underlying in the show which I think is done very well is the character development and their interaction with one another. From Beth and Jerry's failing marriage to Ricks sense of depression, pushing people away and loneliness. This sort of character lore provides something a bit extra for the viewer and sometimes can allow some relation between the characters and the viewer."
"37",NA,"liamgriffith-12694","Apr 5, 2023",8,"Entertaining Stories with interesting character development",NA,"Scratch that. This may be the best Cartoon Network show period! Yeah, you don't normally group Adult Swim shows with other ones, but as someone who watches both, this is freaking awesome! The funniest thing is how I was introduced to this series. I was actually recommended by a friend at work to see it. I looked here on the IMDb and found out it had the highest rating of any animated show (not including anime) that I'd ever seen! And you know what? I think it completely deserves it.Apart from having good animation, the characters and stories in this show are just so freaking fun. Every single character is dysfunctional in some way, but never to the point where they're unlikeable. Rick of course steals the show. I believe it when I hear that Rick represents a cynical part of our personalities and Morty is the idealistic one. The fact that both of these characters are voiced by Justin Roiland makes it all the more obvious. I keep expecting Morty to say ""Unacceptable!"" at any time. I kept wondering who this guy was and why I kept hearing him in every cartoon I was watching.I have yet to find a single episode of this show I didn't like. Then again, the show hasn't gone on that long and I haven't seen all the episodes. I think my favorite is probably ""Lawnmower Dogs"". The two plots are so good and hilarious. Anything with Scary Terry is amusing. What sets this apart from lesser shows like ""Family Guy"" is that this show does work so much harder to make you laugh and doesn't try to just gross you out. It really does focus on character development and takes time to make jokes relevant to the story. It's still not quite as good as ""South Park"" but it's fairly close in terms of adult cartoons. I think my former favorite Adult Swim show was ""Robot Chicken"" or perhaps ""The Venture Bros."".There's quite a lot of variety in Rick and Morty's adventures. There's quite a bit of creativity. There even are some truly heartwarming moments. I can always count on this to make me laugh or entertain me in any way. This just succeeds where so many adult cartoons have failed as they try to hard to be obscene or just aren't funny. The plot? Well, not really much except Rick travels through space and other dimensions with his grandson, Morty. The vocal range is great and it's nice and colorful.Watch this show and laugh like mad. Perfect ****!"
"38",NA,"ericstevenson","May 1, 2016",10,"Best Adult Swim show ever!",NA,"I have recently become a fan of this fascinating anime
I think this was the best animation I have seen in the last few years!This animation shines in every episode! Each episode is a strange and interesting adventure
But honestly, if you spend at least twenty minutes of your time watching this animation every day, of course! If you look at it as temporary entertainment, you'll definitely be satisfied, but if you want to watch it as an animation with a fixed and determined theme, I don't think you'll be satisfied.But it actually makes me happy to know that there are other parts of it that I haven't seen yet!This encourages me a lot to support
And also to say that my favorite character is Rick!"
"39",NA,"nargessghadiri","Mar 11, 2024",10,"Strange and wonderful adventures",NA,"The show feels fidgety in the beginning. At first it makes you take a second to get used and into it. But it's as intelligent and hilarious a show as I haven't seen one since a long time! That's what I and hopeful many other viewers are going to realize after a couple of minutes. It'S one of those shows that wouldn't happen to be without Adult Swim. Not exactly a family show. Anyways - this show is brilliant. The humor is not as cheap as in most of the successful cartoons and the show is not as comfortable to watch, but that's one thing that makes it so hilarious. It's really dark sometimes, and the viewer with a good sense of humor will appreciate that. The only thing that might make the show a bit better is that the creators could make the characters a bit better known and thus more likable to the viewer. Like this a plot as in episode 6 (SE1) would work even better. Well, the characters maybe a bit flat still, but the plots and happenings are making all this acceptable. Amazingly funny and thoughtful story line for a 20min cartoon show. The sad part is, that it might not really be for the rank and file and as a result might not last for too long or even be recognized by too many people. I really hope this goes on for a while, though! I love this show - it's great. Keep up the good workPS.: I hope they take one or two scientists on board to help them with Grandpa Rick to keep him on track regarding scientific accuracy. But that'S just a personnel tic of mine..."
"40",NA,"shifeili","Feb 1, 2014",9,"Best new cartoon show 2013!",NA,"The show was amazing in the first 2 seasons. Honestly, at the time, I think it was one of, if not the, best programs on TV. Mainly because of the fantastic writing, unique plots, trippy Lo-fi feeling animation, and it was funny. Genuinely, I think it was a creative juggernaut.But now, the show has lost sight of its characters, the jokes feel like they're rehashing ideas, and the whole atmosphere of the show has shifted. It doesn't feel like a show made out of love anymore, it feels like a corporate product, leaning heavily into what they think made it popular while completely misunderstanding what made it popular. The show doesn't take risks anymore, it just repeats the same boring idea again and again with no creativity in it.I think the show lost the magic it was born with, and now it's just a husk of what it once was. The emotional aspects fall flat, the drama feels forced, the comedy is tried and tired.I recommend the first two seasons, anything afterwards is completely up to you, I didn't like it at all and I'm not going to watch season 7 whenever it comes out. I'm dropping this show for good.Solar Opposites on the other hand..."
"41",NA,"babydobabylo","Aug 1, 2022",10,"The best reboot",NA,"Fullmetal Alchemist was originally made in 2003 and after 6 years he received one remake following the original Manga.While the first couple of episodes are done better in the original after the 12 episode the anime just blow up in one of the best writing adventure and history I ever seen. Every character receive a time to shine and the animation is fantastic even after 10 years.You probably gonna love this."
"42",NA,"Carnivorous","Jul 13, 2012",10,"No complaints, seriously. FANTASTIC.",NA,"Let's make one thing clear before I start this review, I have no experience with the previous incarnation of Fullmetal Alchemist. This series was my first foray into the world of FMA, & I must say, it is VERY excellent.First off, the series has a huge cast of interesting & unique characters. They are each quite different from each other, and act in different ways. The way the series elegantly manages all the character's developments and story lines is a feat in itself. The series also has a fantastically crafted plot, filled with action, humor, & tragedy. Despite its mainstream appeal, it still maintains a mature tone that really grabs you.The animation & art is top notch. You won't be getting any poorly edited sequences or grotesque looking art. The production values are great. I watched the series with the English voice track, and the dub did quite a good job. No complaints there. The soundtrack is excellent as well, particularly the opening & closing sequences that accompany each episode.It goes on for some 64 episodes, & maintains your attention the entire time. It even manages to close everything up in a satisfying manner. A fantastic series. This show will make you laugh, cry, and even get angry a few times.Loved it."
"43",NA,"bestaloouc","Aug 8, 2022",10,"So well executed",NA,"Fullmetal Alchemist Brotherhood is amazing, I love every minute, the characters are great all of them receive a nice development, the voice acting is amazing too both dub and sub are great, animation and the choreography are awesome.This is perfect series for anime and mainstream fans, just watch."
"44",NA,"Uncle_father_oscar","Jun 22, 2012",9,"Surpasses the original in almost every way",NA,"This review is mainly meant for anyone who watched Fullmetal Alchemist and is either considering Brotherhood, has watched a few episodes and not liked it, or has read one of the negative reviews and was put off.When I first heard about Fullmetal Alchemist: Brotherhood, I was skeptical. Seeing as the original Fullmetal Alchemist is the first anime I have ever completely watched and is the spark that ignited my obsessive love of anime that I have today, a redo seemed unnecessary to say the least. What could possibly be improved upon a show as fantastic as Fullmetal Alchemist? With hesitation and doubt in my heart I started watching the series... and instantly hated it. I won't lie, my first impressions were not only that the show didn't live up to the original, but that it was also an abomination that was dancing on the grave of a greater show. I cried, I screamed, I broke things, I didn't do any of the above because I'm exaggerating and not actually crazy, but I was still quite upset. The criticisms bubbled up inside me until I was frustratingly glaring at the TV appalled at such changes as Alphonse's voice actor, or a lack of the opening starting with the classic ""in those days, we really believed..."" lines from Al. With each passing episode the insults to Fullmetal Alchemist seemed to grow, episodes that were lovingly crafted in the original series were apparently being lightly brushed on. Moments in the original that got me hooked fell flat in Brotherhood, and I was fed up and ready to write the letter of complaint to end all letters of complaint. But then, my eyes began to open. Right around episode 13 where the plot of the two animes separates I started to think that this story might actually be good. As the episodes began to fly I realized that it wasn't good, it was great. After finishing the series I knew without a doubt in my mind that what I had witnessed was my favorite anime of all time. The story of Brotherhood is better than that of the original on so many levels that the two shows truly don't compare. After having my eyes opened I was forced to drop the rating that I gave to the original to an 8 simply because now I knew how much lost potential it had. If you enjoyed the story of Fullmetal Alchemist, stick with Brotherhood and I guarantee you that you will not regret it. Not only is the plot and storyline vastly improved upon and more satisfying, the animation, music (in my opinion at least, some disagree), characters, and overall feel is far better. Therefore, if you are a true fan of the original series don't give up on Brotherhood after only a few episodes like I was so tempted to do, it is a show that grows into something that will go down in history as one of the greats of animation history and you shouldn't miss out."
"45",NA,"cajucaipira","Oct 17, 2022",10,"A review from an NOT anime fan.",NA,"I'm not gonna lie, I don't like animes, seriously since I was a child I never feel any type of interesting from Naruto or Dragon Ball, but this one, oh boy he really put the bar on a really high standard.Fullmetal Alchemist Brotherhood is an anime that you can enjoy even without like animes(he really resembles the Avatar for me) the story is so well written I'm impressed with the alchemy a how close is from the actual alchemy, the animation is great, soundtrack is good and after the episode 19 I'm could force me stop watching, the plot is so entertaining that when i finished the last episode my spirit was elevated to the maximum.While I don't know much of other animes this one is really impressive I definitely recommend."
"46",NA,"miguelpassador","Jul 3, 2022",10,"This series teaches a class on how to count a story",NA,"Fullmetal Alchemist Brotherhood is a masterpiece, it's one of the best series of all time and definitely the best animation I ever watched.Great action, voice acting and amazing animation. And the philosophy about this show is very powerful.Overall:9,4/10."
